admits,admitweek,padmit
85,1,A
90,1,A
80,1,A
84,1,A
82,1,A
79,1,A
75,1,A
76,2,A
80,2,A
84,2,A
75,2,A
80,2,A
79,2,A
83,2,A
88,3,A
78,3,A
80,3,A
85,3,A
83,3,A
82,3,A
89,3,A
84,4,A
89,4,A
91,4,A
87,4,A
84,4,A
77,4,A
86,4,A
80,5,A
89,5,A
81,5,A
86,5,A
88,5,A
83,5,A
86,5,A
90,6,A
86,6,A
85,6,A
85,6,A
87,6,A
80,6,A
89,6,A
NA,NA,NA
86,7,B
87,7,B
88,7,B
89,7,B
79,7,B
73,7,B
75,7,B
74,8,B
70,8,B
75,8,B
81,8,B
85,8,B
75,8,B
73,8,B
75,9,B
79,9,B
70,9,B
72,9,B
71,9,B
69,9,B
70,9,B
64,10,B
60,10,B
59,10,B
54,10,B
53,10,B
55,10,B
50,10,B
54,11,B
51,11,B
49,11,B
48,11,B
50,11,B
46,11,B
55,11,B
51,12,B
55,12,B
49,12,B
50,12,B
48,12,B
51,12,B
33,12,B
